id,LLM_A1,LLM_A2,LLM_A3,LLM_A4,LLM_A5,LLM_A6
0,NA,6,6,7,6,4
1,NA,5,4,6,6,5
2,NA,5,5,6,4,4
3,NA,3,3,6,3,3
4,NA,6,5,6,6,5
5,NA,5,6,5,5,4
6,NA,5,6,6,6,5
7,NA,4,4,5,5,3
8,NA,6,5,6,5,3
9,NA,5,6,5,6,5
10,NA,5,4,6,5,4
11,NA,6,5,6,5,5
12,NA,6,3,6,5,4
13,NA,6,6,7,6,4
14,NA,6,5,5,7,5
15,NA,5,4,5,5,5
16,NA,4,5,6,4,4
17,NA,7,5,6,6,4
18,NA,5,5,6,5,2
19,NA,5,5,6,5,4
20,NA,4,5,4,4,4
21,NA,5,5,5,5,5
22,NA,5,4,6,5,3
23,NA,3,4,6,3,3
24,NA,6,5,6,6,5
25,NA,4,4,6,5,3
26,NA,6,5,6,5,5
27,NA,5,6,5,5,5
28,NA,7,4,6,4,5
29,NA,5,4,5,5,4
30,NA,6,5,6,6,5
31,NA,6,5,6,5,4
32,NA,6,4,6,6,5
33,NA,6,5,4,6,3
34,NA,5,6,6,5,5
35,NA,6,5,6,5,5
36,NA,5,6,5,6,4
37,NA,5,5,6,4,3
38,NA,6,4,5,6,4
39,NA,5,5,5,5,4
40,NA,5,5,6,5,4
41,NA,6,5,6,6,5
42,NA,5,4,6,5,4
43,NA,6,5,6,6,5
44,NA,6,5,5,6,3
45,NA,5,6,6,6,5
46,NA,5,5,5,5,4
47,NA,6,6,6,5,4
48,NA,5,5,6,6,3
49,NA,5,5,6,6,5
