id,LLM_A1,LLM_A2,LLM_A3,LLM_A4,LLM_A5,LLM_A6
0,5,5,4,6,5,5
1,4,4,4,6,4,4
2,4,4,4,6,4,4
3,3,3,3,7,4,3
4,5,5,5,6,5,4
5,5,5,4,6,5,4
6,5,5,4,6,4,5
7,4,4,4,7,4,4
8,4,4,5,6,5,4
9,5,5,5,6,5,5
10,4,4,4,5,4,4
11,5,5,5,6,5,6
12,4,4,4,6,5,4
13,4,4,5,6,4,4
14,6,5,6,7,5,5
15,5,5,5,5,5,4
16,5,5,4,6,5,5
17,5,5,4,6,5,5
18,5,5,4,6,4,4
19,4,4,4,6,4,4
20,4,4,5,6,4,4
21,5,5,5,6,5,4
22,4,4,4,6,4,3
23,3,4,4,6,4,3
24,5,5,5,6,5,4
25,4,4,4,5,4,3
26,6,5,5,6,5,5
27,5,5,5,6,5,5
28,5,5,4,6,4,4
29,5,5,5,6,5,5
30,5,4,5,6,5,4
31,5,5,5,6,4,4
32,4,4,4,6,4,4
33,5,5,5,6,5,5
34,5,5,4,6,5,4
35,5,4,5,6,5,6
36,5,5,5,6,5,5
37,5,5,5,6,5,4
38,5,5,5,6,5,5
39,5,5,5,6,5,5
40,4,4,5,5,4,4
41,5,5,4,6,5,4
42,5,5,5,6,5,4
43,4,4,4,6,5,4
44,4,4,5,6,4,4
45,5,5,5,6,5,5
46,5,5,5,6,5,5
47,5,5,5,7,5,5
48,5,5,6,6,5,5
49,6,6,6,6,6,5
