id,LLM_A1,LLM_A2,LLM_A3,LLM_A4,LLM_A5,LLM_A6
0,4,4,4,6,4,3
1,6,5,5,6,6,5
2,5,4,4,7,4,4
3,4,3,4,7,4,3
4,5,4,4,7,5,4
5,5,4,4,7,4,4
6,5,5,4,6,5,4
7,4,4,4,7,4,4
8,6,6,5,6,5,5
9,5,4,4,7,4,4
10,5,4,4,7,4,4
11,6,6,6,6,6,6
12,4,4,4,6,4,4
13,5,4,5,6,5,5
14,6,6,6,6,6,6
15,7,6,6,5,6,6
16,5,4,4,6,4,4
17,6,5,5,6,5,5
18,5,4,4,6,5,4
19,4,3,4,7,3,3
20,6,5,5,7,5,5
21,5,4,5,6,4,4
22,5,5,4,6,5,4
23,6,5,5,7,5,5
24,6,6,6,6,6,5
25,5,5,4,6,5,4
26,4,3,4,7,4,4
27,4,4,4,7,4,4
28,7,6,6,6,6,5
29,6,5,6,6,6,6
30,5,4,4,7,5,5
31,4,3,4,6,3,3
32,7,6,6,6,6,6
33,6,5,5,6,5,5
34,5,5,4,6,5,4
35,5,4,4,7,4,4
36,5,4,5,7,4,5
37,6,5,5,7,5,4
38,6,6,5,6,5,5
39,5,5,5,7,4,5
40,6,5,5,6,5,5
41,5,5,4,7,5,4
42,6,6,6,5,6,6
43,6,4,6,6,5,5
44,5,4,4,7,5,4
45,6,5,5,6,6,5
46,4,4,4,7,4,3
47,7,7,5,4,7,6
48,7,7,6,5,7,6
49,6,6,5,7,5,5
