id,LLM_A1,LLM_A2,LLM_A3,LLM_A4,LLM_A5,LLM_A6
0,5,4,5,7,5,5
1,6,4,5,7,5,4
2,5,4,5,6,5,5
3,5,4,5,7,5,4
4,6,5,5,7,6,5
5,5,5,4,7,5,4
6,6,4,5,6,5,4
7,4,5,4,6,4,3
8,5,5,5,7,5,4
9,5,4,4,7,5,5
10,6,4,5,7,5,4
11,6,4,5,6,4,4
12,5,5,4,6,4,5
13,5,5,5,7,5,4
14,5,5,5,7,5,4
15,6,5,6,7,5,5
16,5,4,4,7,4,4
17,5,4,5,7,4,5
18,4,4,4,6,4,4
19,5,4,4,7,4,4
20,5,5,5,6,5,5
21,5,4,4,7,4,3
22,5,5,4,7,5,4
23,6,5,5,7,5,4
24,5,5,5,6,5,5
25,5,4,4,6,4,4
26,6,4,5,7,4,4
27,5,5,5,7,5,4
28,4,4,5,7,4,4
29,6,5,5,7,5,5
30,5,4,5,6,5,5
31,5,4,5,6,5,4
32,5,4,5,6,4,4
33,6,5,5,6,5,5
34,6,5,5,7,5,5
35,5,5,5,7,5,5
36,5,5,5,7,5,4
37,5,4,4,7,4,4
38,6,4,5,6,5,4
39,6,5,5,7,5,4
40,6,5,5,7,4,4
41,5,5,4,7,4,5
42,5,4,5,7,4,4
43,6,5,5,7,4,4
44,6,5,4,7,5,5
45,6,5,5,6,5,5
46,6,4,5,7,5,4
47,5,5,5,7,5,4
48,5,4,5,6,5,4
49,6,5,5,7,5,4
