id,LLM_A1,LLM_A2,LLM_A3,LLM_A4,LLM_A5,LLM_A6
0,NA,4,5,6,4,4
1,NA,4,4,6,4,4
2,NA,4,4,6,4,4
3,NA,4,3,6,4,3
4,NA,4,4,6,4,4
5,NA,4,4,5,5,4
6,NA,4,5,5,4,5
7,NA,4,3,5,5,4
8,NA,5,5,6,5,3
9,NA,5,4,6,4,4
10,NA,4,4,6,4,3
11,NA,4,4,5,5,4
12,NA,4,3,6,5,4
13,NA,4,4,5,4,4
14,NA,4,4,5,4,4
15,NA,4,4,5,4,4
16,NA,4,3,6,4,4
17,NA,4,5,6,4,4
18,NA,4,4,6,5,3
19,NA,4,4,6,5,4
20,NA,4,4,5,4,4
21,NA,4,4,5,5,5
22,NA,4,3,6,5,4
23,NA,3,3,6,4,3
24,NA,4,5,6,4,4
25,NA,4,4,6,5,4
26,NA,4,4,6,4,5
27,NA,5,4,5,5,4
28,NA,4,4,6,4,4
29,NA,4,4,5,4,4
30,NA,4,5,5,4,4
31,NA,4,5,6,4,4
32,NA,4,4,6,4,5
33,NA,4,5,5,4,4
34,NA,4,4,6,5,4
35,NA,4,5,6,5,5
36,NA,4,4,4,4,4
37,NA,4,4,6,4,4
38,NA,4,4,4,4,4
39,NA,4,5,5,5,4
40,NA,4,4,5,4,4
41,NA,4,4,6,4,4
42,NA,4,4,6,5,4
43,NA,4,5,5,4,4
44,NA,4,5,5,4,4
45,NA,5,4,6,4,5
46,NA,4,4,5,5,4
47,NA,4,4,5,5,3
48,NA,4,4,6,4,4
49,NA,5,5,4,4,4
